ID::ID!!I;Area::Area!!R;FormCircle::Form Circle!!R;FeretRatio::Feret Ratio!!R;EllipseAngle::Ellipse Angle!!R;EllipseMajor::Ellipse Major!!R;EllipseMinor::Ellipse Minor!!R
;"µm²";;;"°";"µm";"µm"
2;169,19820967019;0,90716855699824;0,68143021234777;60,975528912035;8,9422111163833;6,044518780883
3;116,91335365704;0,81419559491153;0,66258873476395;135,79555064723;7,8843203085132;4,7787861185197
4;116,01016036699;0,93610778592154;0,92164647038454;169,60198039589;6,2895832855451;5,9106329911795
5;128,55451161774;0,9152982392438;0,77642998523037;25,795945581749;7,3341415235261;5,6081892364748
6;150,03044095904;0,79957765226974;0,60875497714868;67,77090325887;9,0830662837001;5,338367849037
7;174,91843384053;0,84780570651958;0,64334312008001;79,971768120749;9,488361939672;5,9268176410533
8;158,76130942956;0,94418442530575;0,80331148602806;104,58814618223;7,8857427624962;6,4535004103206
9;135,98076755819;0,86224914863008;0,61187569419128;83,117949460168;8,5979656842493;5,0491914172231
10;190,27271977146;0,87286405433842;0,65210117898496;79,715602327502;9,8356016063933;6,2166515260358
11;151,63611791913;0,9099516526485;0,6942432194287;25,089410147568;8,489787845849;5,7136347886534
12;184,3517859811;0,83675767866787;0,76173764033331;168,20744452164;8,8133591058859;6,7320514212859
13;150,53221500907;0,8924126198673;0,78540221371824;70,434121663921;7,7470357104234;6,2944039212618
14;156,65385841943;0,92405943994726;0,84080526165634;177,72877196495;7,6866523233844;6,5106200139213
15;187,86420433131;0,84662547927679;0,69896685184517;126,5781721904;9,0121138709074;6,6901681417797
16;134,4754454081;0,73159575676281;0,8649318422282;106,05636852729;7,0444532634972;6,1107203641229
17;138,79070223836;0,71235730771821;0,59656734442633;31,389368079428;8,9728687739101;4,9938681553503
18;163,57834030985;0,88834739877826;0,84707481530896;153,56753860324;7,8276668566894;6,7717686175935
19;175,42020789056;0,94740146105829;0,75510857309017;139,48705691187;8,5473252095455;6,545217563465
20;204,12168355229;0,97811890502075;0,87764609536337;135,01577875148;8,533024993369;7,6269846596816
21;166,38827499002;0,93231611334432;0,74176091214432;123,48770378061;8,4351660256449;6,2986168658164
22;176,62446561064;0,9173190168197;0,71054660483752;151,94988794325;8,8251175045451;6,3959737671289
23;162,47443739979;0,94989072482061;0,77803464408557;107,65522663221;8,1935662227792;6,3321399064077
24;147,52157070888;0,90192562343254;0,69883617699087;78,387267026985;8,2184147970366;5,7433727145533
25;103,56616392624;0,91197552210874;0,92235722578998;77,064515427521;5,8240107169586;5,705363238488
26;150,23115057905;0,88897851857087;0,76892191941727;106,71577232727;7,8546506595508;6,1029920267751
27;139,19212147838;0,81227645426022;0,74926161669177;69,564556853454;7,9468164161867;5,638558068086
28;142,10241096856;0,89812345804992;0,6477506341232;71,487642838259;8,4778683525159;5,3486252174669
29;233,72635250408;0,96108318770891;0,85764922480683;136,09732893728;9,2649449155345;8,0557038327471
30;192,27981597158;0,87860797535489;0,59479846264793;1,9586399319397;10,218481268191;6,0139069561933
31;218,07100214313;0,94717302635424;0,89919782192231;7,5239994953257;8,6841669937729;8,0035091978842
32;168,09430676012;0,82808410327183;0,72524053229769;173,95119256176;8,4348816320473;6,3906455992209
33;198,70252381197;0,93391316724404;0,76333697964153;86,94404078444;9,0451683587787;7,0126921231705
34;139,99495995843;0,95573024860143;0,93908334624504;83,123317032229;6,7975350329647;6,5637577813449
35;153,04108525922;0,91838270700791;0,7703747476654;111,08537241514;7,9470841877841;6,1447513909229
36;139,19212147838;0,94891365933482;0,79359902148584;111,64764264954;7,5464207066978;5,8850185218912
37;122,73393263739;0,78809855844729;0,54955748836821;92,195013893497;8,2772351952956;4,7889200602399
38;140,39637919846;0,89682100351071;0,78733190233028;66,862898991936;7,6302404699697;5,8775503607446
39;188,56668800136;0,85450170567747;0,73956723593345;138,4416901413;9,1817940993665;6,5666043551084
40;219,67667910323;0,88169506296636;0,83777369648042;76,639711827683;9,1011092998904;7,6957781583082
41;157,45669689948;0,93765668853746;0,78265975160966;112,73896695467;8,0427238621244;6,2629863638434
42;162,6751470198;0,79127614332013;0,67819045714702;175,07489575295;8,6515621086006;6,0288125251786
43;207,5337470925;0,90486947325159;0,75077375845901;141,09829403139;9,5661515801589;6,9232727640034
44;132,769413638;0,91312593415902;0,75568091337205;70,302977835022;7,2543821206784;5,8643955402114
45;157,25598727947;0,88386366149627;0,80838025170129;176,63268643925;7,8481386792413;6,4242879544315
46;40,643698052448;0,8074704452052;0,79474814252109;15,200374865212;3,9499390099045;3,3080639478271
47;43,052213492593;0,77911149482538;0,73277159336754;122,42448370413;4,3764329304624;3,1605306021559
48;153,34214968924;0,91726559991222;0,85787293807948;132,79074530771;7,4202205246862;6,6130058664055
49;146,01624855879;0,86290642856707;0,70132391831835;132,75729566125;8,2665468875776;5,6349283267955
50;100,95693886608;0,73828671059896;0,57618396592056;69,453256526775;7,5815953080039;4,2573543472584
51;148,82618323896;0,84644263919426;0,72989475426859;33,183656179965;8,2714089244626;5,7863501856202
52;122,8342874474;0,76278538347801;0,69047154661516;18,088486501692;7,7233858615635;5,0940956669426
53;173,51346650045;0,95966889972862;0,9074173294879;166,13476851695;7,6824097245198;7,2181628555223
54;143,30666868863;0,8761563199059;0,73043063700967;5,906290378646;8,0256160457535;5,7264212532178
55;176,0223367506;0,86860769738523;0,87542192676446;134,59270427752;8,2222366183277;6,9343841125535
56;187,26207547128;0,88763238183866;0,65891937312401;163,49307388742;9,6143080007322;6,2430250287741
